timestamp,measurement_time,measurement_hour,region_id,cell_id,sector_id,measurement_type,cell_priority,neighbor_cell_id,scenario_id,latency_ms,jitter_ms,packet_loss_pct,alarm_code,interference_flag,latency_roll_mean,latency_roll_std,jitter_roll_mean,packet_loss_roll_mean,latency_diff,packet_loss_diff,anomaly_flag,anomaly_reason,state
0,2025-01-06 00:00:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,4,NB_6191,S1,11.701720780126475,2.560864963163317,0.8851549046725438,0,0,11.701720780126475,0.0,2.560864963163317,0.8851549046725438,0.0,0.0,0,normal,GREEN
1,2025-01-06 00:05:00,0,REGION_SEOUL_001,CELL01,SEC1,VIDEO,1,,S1,8.781392501515354,3.480978309777689,0.605987540057427,0,0,10.241556640820914,2.0649839290967607,3.0209216364705034,0.7455712223649854,-1.4601641393055598,-0.13958368230755835,0,normal,GREEN
2,2025-01-06 00:10:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_9322,S1,12.67311747709222,3.116297454113908,1.0392622359845876,0,0,11.052076919578015,2.0255637932544652,3.052713575684971,0.8434682269048528,1.6210405575142044,0.19579400907973477,0,normal,GREEN
3,2025-01-06 00:15:00,0,REGION_SEOUL_001,CELL01,SEC1,VOICE,4,,S1,8.402222973874832,2.8901247520786355,0.7784103419074588,0,0,10.38961343315222,2.1191281077568895,3.0120663697833874,0.8272037556555043,-1.987390459277389,-0.04879341374804547,0,normal,GREEN
4,2025-01-06 00:20:00,0,REGION_SEOUL_001,CELL01,SEC1,VIDEO,1,,S1,11.213478272549464,1.7130589424677898,1.1352328760952306,0,0,10.55438640103167,1.8718382963100688,2.752264884320268,0.8888095797434495,0.6590918715177949,0.24642329635178106,0,normal,GREEN
5,2025-01-06 00:25:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_5555,S1,10.4579796693206,2.872811612097225,1.2122878989467514,0,0,10.538318612413157,1.6746856209488752,2.772356005616427,0.9427226329439998,-0.08033894309255629,0.26956526600275155,0,normal,GREEN
6,2025-01-06 00:30:00,0,REGION_SEOUL_001,CELL01,SEC1,VIDEO,1,,S1,10.08336333999724,3.106726509639905,0.7894497511034675,0,0,10.473325002068027,1.5384123179035247,2.820123220476924,0.920826506966781,-0.3899616620707871,-0.13137675586331354,0,normal,GREEN
7,2025-01-06 00:35:00,0,REGION_SEOUL_001,CELL01,SEC1,VOICE,2,,S1,13.820249922172966,3.4143547176099585,0.9288156456729022,0,0,10.891690617081144,1.8517151461543044,2.8944021576185537,0.9218251493050461,2.928559305091822,0.006990496367856092,0,normal,GREEN
8,2025-01-06 00:40:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_3747,S1,9.548117147009798,3.780474899549534,1.064468726151466,0,0,10.742404675962105,1.7890834216512301,2.9928546844997737,0.937674435621315,-1.194287528952307,0.126794290530151,0,normal,GREEN
9,2025-01-06 00:45:00,0,REGION_SEOUL_001,CELL01,SEC1,DATA,2,NB_3734,S1,9.523981610907088,4.017516350682955,0.5778873359372725,0,0,10.620562369456604,1.730210494770649,3.0953208511180916,0.9016957256529107,-1.096580758549516,-0.3238083897156382,0,normal,GREEN
10,2025-01-06 00:50:00,0,REGION_SEOUL_001,CELL01,SEC1,VIDEO,2,,S1,11.997218211096692,3.623133671561492,1.064442256863105,0,0,10.745712900514793,1.693090290049134,3.1433038347947644,0.9164908648538375,1.2515053105818996,0.14795139200926744,0,normal,GREEN
11,2025-01-06 00:55:00,0,REGION_SEOUL_001,CELL01,SEC1,IOT,2,,S1,11.142705667130176,2.7189548373479027,0.5706944055761813,0,0,10.778795631066075,1.6183610383404676,3.107941418340859,0.8876744932473661,0.36391003606410166,-0.3169800876711848,0,normal,GREEN
12,2025-01-06 01:00:00,1,REGION_SEOUL_001,CELL01,SEC1,IOT,2,,S1,11.923148381437832,2.8475979552411306,1.169715093865861,0,0,10.866822765710056,1.5816348629990695,3.087914998102419,0.9093699240641734,1.0563256157277756,0.26034516980168754,0,normal,GREEN
13,2025-01-06 01:05:00,1,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_9792,S1,10.17530407351167,3.369457735521842,0.8694509012115401,0,0,10.817428573410172,1.530783287999653,3.1080251936323777,0.9065185652889853,-0.6421244998985021,-0.03706766407744522,0,normal,GREEN
14,2025-01-06 01:10:00,1,REGION_SEOUL_001,CELL01,SEC1,IOT,3,,S1,10.475413925518245,3.2598072299239007,0.5690371797867297,0,0,10.794627596884045,1.4777406239657562,3.1181439960518125,0.8840198062555016,-0.3192136713657998,-0.31498262646877184,0,normal,GREEN
15,2025-01-06 01:15:00,1,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_7235,S1,12.851403419491865,3.8141729796956807,0.8260079202577527,0,0,10.923176085797031,1.5174095093172641,3.161645807529554,0.8803940633806423,1.9282273336948332,-0.054386143122889585,0,normal,GREEN
16,2025-01-06 01:20:00,1,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_1775,S1,8.746068880628956,4.239694709354956,0.8386976256419673,0,0,10.795110956081263,1.5612286537903544,3.225060448813401,0.8779413317489556,-2.0490420754523075,-0.03924370610698835,0,normal,GREEN
17,2025-01-06 01:25:00,1,REGION_SEOUL_001,CELL01,SEC1,VOICE,4,,S1,9.845684433862507,4.133590097549112,1.3205562650160834,0,0,10.742365038180221,1.531056745756593,3.2755343181876078,0.902531050263796,-0.896680604317714,0.4180252147522874,0,normal,GREEN
18,2025-01-06 01:30:00,1,REGION_SEOUL_001,CELL01,SEC1,DATA,2,NB_4073,S1,11.197381107138169,3.746969099899173,1.051991409785738,0,0,10.766313252335904,1.4915769749403802,3.300346675119795,0.9103973849754771,0.43106785480226506,0.14159402481026084,0,normal,GREEN
19,2025-01-06 01:35:00,1,REGION_SEOUL_001,CELL01,SEC1,DATA,1,NB_4843,S1,9.706208769868244,3.2639513244714484,0.7131167627304602,0,0,10.71330802821252,1.4710194126802703,3.298526907587378,0.9005333538632263,-1.007099258344276,-0.1874165911327661,0,normal,GREEN
20,2025-01-06 01:40:00,1,REGION_SEOUL_001,CELL01,SEC1,DATA,4,NB_7873,S1,9.144781181075446,3.674662531472922,1.494719886160146,0,0,10.585461048259969,1.4915637120246414,3.3542167860028576,0.9310116029376065,-1.4406798671845227,0.5637082832225395,0,normal,GREEN
21,2025-01-06 01:45:00,1,REGION_SEOUL_001,CELL01,SEC1,DATA,2,NB_1995,S1,10.927726769179785,3.830720506864198,1.1879471204531675,0,0,10.692777761643189,1.4309111708146671,3.371703895857183,0.9601095819573935,0.23494900753659564,0.22783753849577404,0,normal,GREEN
22,2025-01-06 01:50:00,1,REGION_SEOUL_001,CELL01,SEC1,VIDEO,4,,S1,12.00370849973724,2.9263498013724907,0.8991032894261013,0,0,10.659307312775441,1.3893773196164785,3.362206513220113,0.9531016346294692,1.3444011869617984,-0.05399834520336788,0,normal,GREEN
23,2025-01-06 01:55:00,1,REGION_SEOUL_001,CELL01,SEC1,VOICE,1,,S1,9.788748455791216,2.7336695137456206,0.5338497442914931,0,0,10.72863358687126,1.3027165494092847,3.3543837513034616,0.9408736047486709,-0.9398851310800431,-0.40702386045717776,0,normal,GREEN
24,2025-01-06 02:00:00,2,REGION_SEOUL_001,CELL01,SEC1,VOICE,2,,S1,9.747115568783876,2.6162894999641626,0.8726219261559419,0,0,10.65531545168298,1.3151972040572848,3.3995452791782803,0.9277430572517064,-0.9081998828991047,-0.05512113109576444,0,normal,GREEN
25,2025-01-06 02:05:00,2,REGION_SEOUL_001,CELL01,SEC2,DATA,1,NB_5887,S1,9.028467961474854,2.5618076332773483,0.9338460746026988,0,0,10.583839866290692,1.3644093803179835,3.3839950802372867,0.9138209660345037,-1.5553719048158374,0.02002510856819506,0,normal,GREEN
26,2025-01-06 02:10:00,2,REGION_SEOUL_001,CELL01,SEC2,DATA,1,NB_9571,S1,9.556034734891398,2.3090023387034044,1.1107096994350767,0,0,10.557473436035401,1.3796004197777167,3.3441088716904614,0.9298839634510842,-1.0014387011440036,0.18082573598399254,0,normal,GREEN
27,2025-01-06 02:15:00,2,REGION_SEOUL_001,CELL01,SEC2,DATA,1,NB_1064,S1,11.625409119745278,3.124950854558864,1.1821769528978967,0,0,10.447731395914017,1.1791290042679985,3.329638678537907,0.9425520288123339,1.1776777238312608,0.2396249240855628,0,normal,GREEN
28,2025-01-06 02:20:00,2,REGION_SEOUL_001,CELL01,SEC2,VOICE,2,,S1,10.121594306040484,2.500123599455934,1.2419746286232205,0,0,10.47640525386555,1.1629629755471915,3.265621113533227,0.9514273239359218,-0.35481094782506695,0.2905473046872987,0,normal,GREEN
29,2025-01-06 02:25:00,2,REGION_SEOUL_001,CELL01,SEC2,DATA,1,NB_6258,S1,8.792514008604568,2.608238907932309,0.5165597707484358,0,0,10.439831873750425,1.205225496588597,3.1951572413956946,0.9483609456764798,-1.6473178651458564,-0.43180117492804393,0,normal,GREEN
30,2025-01-06 02:30:00,2,REGION_SEOUL_001,CELL01,SEC2,DATA,3,NB_6892,S1,10.393543570485496,3.350627779588363,1.0625514463489727,0,0,10.359648141719866,1.148154199265676,3.181531946797038,0.9482664051507731,0.03389542876563034,0.1142850411981996,0,normal,GREEN
31,2025-01-06 02:35:00,2,REGION_SEOUL_001,CELL01,SEC2,IOT,2,,S1,11.576791016479062,3.090804533126755,0.9521152524255364,0,0,10.381352409187311,1.167672886455118,3.200124431585981,0.967337447493241,1.1954386072917504,-0.015222195067704614,0,normal,GREEN
32,2025-01-06 02:40:00,2,REGION_SEOUL_001,CELL01,SEC2,IOT,3,,S1,9.157171504678857,3.2148124703168373,1.8033931828509635,0,0,10.24305356534936,1.138898176869645,3.218485157339766,0.9990213519424961,-1.085882060670503,0.8043718309084674,0,normal,GREEN
33,2025-01-06 02:45:00,2,REGION_SEOUL_001,CELL01,SEC2,DATA,1,NB_3454,S1,8.007092170606654,3.6825743809460407,1.019408331728911,0,0,10.134642970204109,1.2440292835993925,3.234140989610976,1.0065192234683646,-2.1275507995974543,0.012889108260546456,0,normal,GREEN
34,2025-01-06 02:50:00,2,REGION_SEOUL_001,CELL01,SEC2,VIDEO,2,,S1,13.286237739809128,3.432264954270398,0.8132040404615886,0,0,10.275184160918654,1.4295004009990107,3.242763875828301,1.0187275665021076,3.0110535788904738,-0.20552352604051904,0,normal,GREEN
35,2025-01-06 02:55:00,2,REGION_SEOUL_001,CELL01,SEC2,VIDEO,1,,S1,7.93220597493513,3.759443290726331,1.0331106570150743,0,0,10.029224288690818,1.3854254993264468,3.240027391379834,1.0290827033399736,-2.0970183137556884,0.004027953675100671,0,normal,GREEN
36,2025-01-06 03:00:00,3,REGION_SEOUL_001,CELL01,SEC2,VIDEO,2,,S1,9.46146615421632,3.039988247389035,0.99742951359677,0,0,10.064994152370186,1.3595460601663978,3.1800420682815376,1.037019297737714,-0.6035279981538668,-0.03958978414094394,0,normal,GREEN
37,2025-01-06 03:05:00,3,REGION_SEOUL_001,CELL01,SEC2,IOT,3,,S1,10.348192767788005,3.8058952956561978,0.4032882078546954,0,0,10.09011956906646,1.3599230488373992,3.163657328186892,0.9911558948796444,0.25807319872154544,-0.5878676870249491,0,normal,GREEN
38,2025-01-06 03:10:00,3,REGION_SEOUL_001,CELL01,SEC2,VIDEO,1,,S1,9.591358448133562,3.17986838217873,1.1224913390253513,0,0,10.00981843611623,1.3383452543980223,3.1353022923008695,0.9946808913416252,-0.4184599879826685,0.12781044768372607,0,normal,GREEN
39,2025-01-06 03:15:00,3,REGION_SEOUL_001,CELL01,SEC2,DATA,1,NB_1206,S1,9.887633733017472,3.0843531305476013,0.9068325727964256,0,0,10.018889684273692,1.3367930379671984,3.1263223826046773,1.0043666818449233,-0.13125595125621992,-0.09753410904849769,0,normal,GREEN
